applicant_id,name,gender,age,country,city,pincode,region,latitude,longitude,caste,ethnicity,education,university_tier,department,years_experience,salary_history,career_gap_months,skills_score,interview_score,references_quality,hired
APP-1001,Applicant_1001,Female,35,United Kingdom,London,EC1A,England,51.5074,-0.1278,N/A,White,Bachelor's,Community College,Engineering,9,4121602,2,78,62,Strong,1
APP-1002,Applicant_1002,Female,22,Australia,Sydney,2000,New South Wales,-33.8688,151.2093,N/A,White,PhD,Harvard,Operations,0,5278407,0,93,82,Strong,1
APP-1003,Applicant_1003,Male,40,United States,San Francisco,94102,California,37.7749,-122.4194,N/A,Mixed,Master's,Stanford,Engineering,13,9364596,0,75,88,Weak,1
APP-1004,Applicant_1004,Female,33,United States,Boston,02101,Massachusetts,42.3601,-71.0589,N/A,Mixed,PhD,Cambridge,Marketing,10,7861529,0,37,94,Average,1
APP-1005,Applicant_1005,Male,35,India,Kochi,682001,Kerala,9.9312,76.2673,SC,N/A,Bachelor's,IIT Delhi,Operations,11,1957943,0,73,68,Average,1
APP-1006,Applicant_1006,Female,44,India,Bhopal,462001,Madhya Pradesh,23.2599,77.4126,ST,N/A,Bachelor's,BITS Pilani,Finance,20,1900849,24,82,84,Average,0
APP-1007,Applicant_1007,Female,30,United States,New York,10001,New York,40.7128,-74.006,N/A,Hispanic,PhD,Cambridge,HR,8,6970139,0,53,88,Weak,1
APP-1008,Applicant_1008,Male,32,India,Patna,800001,Bihar,25.5941,85.1376,General,N/A,PhD,DU,Engineering,9,2684084,0,80,72,Weak,1
APP-1009,Applicant_1009,Female,42,India,Chennai,600001,Tamil Nadu,13.0827,80.2707,General,N/A,Bachelor's,State University,Finance,19,2660293,10,78,81,Average,1
APP-1010,Applicant_1010,Female,29,United Kingdom,Birmingham,B1,England,52.4862,-1.8904,N/A,Asian,Bachelor's,Oxford,Marketing,6,4305149,11,93,60,Strong,1
APP-1011,Applicant_1011,Male,33,Canada,Toronto,M5H,Ontario,43.6532,-79.3832,N/A,Asian,MBA,Regional University,HR,10,6416480,0,87,53,Average,1
APP-1012,Applicant_1012,Male,38,United Kingdom,London,EC1A,England,51.5074,-0.1278,N/A,White,PhD,Oxford,Operations,16,8431119,0,59,69,Strong,1
APP-1013,Applicant_1013,Male,29,United States,San Francisco,94102,California,37.7749,-122.4194,N/A,White,Bachelor's,Harvard,HR,6,6700701,0,54,61,Strong,0
APP-1014,Applicant_1014,Female,36,India,Kochi,682001,Kerala,9.9312,76.2673,OBC,N/A,Bachelor's,DU,Sales,9,1431905,0,45,54,Strong,0
APP-1015,Applicant_1015,Male,38,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,Asian,Bachelor's,Stanford,Operations,12,4844930,0,68,50,Strong,1
APP-1016,Applicant_1016,Female,30,United Kingdom,Birmingham,B1,England,52.4862,-1.8904,N/A,Black,PhD,Cambridge,HR,7,6091593,0,71,68,Weak,0
APP-1017,Applicant_1017,Female,39,India,Chennai,600001,Tamil Nadu,13.0827,80.2707,General,N/A,Master's,Anna University,Finance,15,2578740,24,80,50,Strong,0
APP-1018,Applicant_1018,Female,32,Singapore,Singapore,018956,Central Region,1.3521,103.8198,N/A,White,Bachelor's,Technical Institute,Finance,5,3367652,0,62,59,Strong,0
APP-1019,Applicant_1019,Male,36,India,Patna,800001,Bihar,25.5941,85.1376,SC,N/A,Bachelor's,Anna University,Finance,9,1698325,0,66,69,Weak,1
APP-1020,Applicant_1020,Male,35,Australia,Sydney,2000,New South Wales,-33.8688,151.2093,N/A,Asian,High School,State University,Engineering,11,6284348,0,70,70,Average,1
APP-1021,Applicant_1021,Male,49,United States,Chicago,60601,Illinois,41.8781,-87.6298,N/A,Asian,Bachelor's,Harvard,Product,27,9761850,0,39,64,Strong,1
APP-1022,Applicant_1022,Female,28,India,Mumbai,400001,Maharashtra,19.076,72.8777,OBC,N/A,Master's,Osmania University,Data Science,3,1276824,0,61,53,Weak,0
APP-1023,Applicant_1023,Male,28,India,Patna,800001,Bihar,25.5941,85.1376,SC,N/A,High School,Anna University,Finance,6,1463723,5,43,47,Average,0
APP-1024,Applicant_1024,Male,40,India,Lucknow,226001,Uttar Pradesh,26.8467,80.9462,OBC,N/A,High School,Regional College,Engineering,13,2369402,0,56,38,Average,1
